"REF_DATE","GEO","DGUID","Indicator","Industry","Authority","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","Newfoundland and Labrador","2016A000210","Domestic production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808847","3.1.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Domestic production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808848","3.1.2.2.0.0.0.0.0.0","1","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Domestic market production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808883","3.2.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Domestic market production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808884","3.2.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Domestic market production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808919","3.2.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Domestic market production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808920","3.2.2.2.0.0.0.0.0.0","1","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Domestic own-use production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808955","3.3.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Domestic own-use production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808956","3.3.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Domestic own-use production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808991","3.3.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Domestic own-use production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808992","3.3.2.2.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Intermediate consumption","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809027","3.4.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Intermediate consumption","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809028","3.4.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Intermediate consumption","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809063","3.4.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Intermediate consumption","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809064","3.4.2.2.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Gross value added","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809099","3.5.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Gross value added","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809100","3.5.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Gross value added","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809135","3.5.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Newfoundland and Labrador","2016A000210","Gross value added","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809136","3.5.2.2.0.0.0.0.0.0","1","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808813","4.1.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808814","4.1.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808849","4.1.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808850","4.1.2.2.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic market production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808885","4.2.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic market production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808886","4.2.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic market production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808921","4.2.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic market production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808922","4.2.2.2.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic own-use production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808957","4.3.1.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic own-use production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808958","4.3.1.2.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic own-use production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808993","4.3.2.1.0.0.0.0.0.0","0","","","","0"
"1961","Prince Edward Island","2016A000211","Domestic own-use production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808994","4.3.2.2.0.0.0.0.0.0","0","","","","0"
